latitude,longitude,time_received,vehicle_id,distance_along_trip,inferred_direction_id,inferred_phase,inferred_route_id,inferred_trip_id,next_scheduled_stop_distance,next_scheduled_stop_id
40.714689,-73.8314,2014/8/1 4:00,9534,12578.82413,1,LAYOVER_DURING,MTA NYCT_Q46,MTA NYCT_QV_C4-Weekday-140000_MISC_302,21.62418618,MTA_504489
40.711085,-73.950637,2014/8/1 4:00,9576,14402.60474,1,IN_PROGRESS,MTA NYCT_Q54,MTA NYCT_FP_C4-Weekday-140000_Q58_263,30.68287123,MTA_308271
40.824234,-73.909097,2014/8/1 4:00,306,3607.374534,1,IN_PROGRESS,MTA NYCT_BX6,MTA NYCT_WF_C4-Weekday-142000_BX6_52,242.4998209,MTA_103910
40.635409,-73.994323,2014/8/1 4:00,409,3242.051912,0,IN_PROGRESS,MTA NYCT_B11,MTA NYCT_JG_C4-Weekday-142500_B11_32,64.25003497,MTA_301175
40.664377,-73.99029,2014/8/1 4:00,446,7201.615316,0,IN_PROGRESS,MTA NYCT_B63,MTA NYCT_JG_C4-Weekday-141000_B35_68,250.0533341,MTA_308333
40.582936,-74.096449,2014/8/1 4:00,2424,28984.89784,1,IN_PROGRESS,MTA NYCT_X1,MTA NYCT_YU_C4-Weekday-137800_X109_124,102.9314672,MTA_201110
40.75879,-73.968733,2014/8/1 4:00,2915,0.107167295,1,LAYOVER_DURING,MTA NYCT_X10,MTA NYCT_CA_C4-Weekday-143000_MISC_519,0.099068914,MTA_405013
40.602696,-73.754106,2014/8/1 4:00,3507,13434.13631,0,IN_PROGRESS,MTABC_Q22,MTABC_6524959-FRPC4-FR_C4-Weekday-12-SDon,126.7074825,MTA_550825
40.704561,-73.801004,2014/8/1 4:00,3555,163.486881,1,IN_PROGRESS,MTABC_Q112,MTABC_6547858-BPPC4-BP_C4-Weekday-05,366.7408412,MTA_552409
40.700605,-73.854793,2014/8/1 4:00,3655,4102.934744,1,IN_PROGRESS,MTABC_Q21,MTABC_6524419-FRPC4-FR_C4-Weekday-12-SDon,161.8101421,MTA_550450
40.770844,-73.926925,2014/8/1 4:00,4487,4640.663047,1,IN_PROGRESS,MTABC_Q69,MTABC_6584141-LGPC4-LG_C4-Weekday-77,145.528431,MTA_550689
40.619646,-73.908308,2014/8/1 4:00,4604,0,0,LAYOVER_DURING,MTA NYCT_B41,MTA NYCT_FB_C4-Weekday-SDon-145700_B46_208,0,MTA_308381
40.852809,-73.904522,2014/8/1 4:00,4762,11455.21242,1,IN_PROGRESS,MTA NYCT_BX40,MTA NYCT_GH_C4-Weekday-139700_BX402_48,136.6582986,MTA_102703
40.772017,-73.960823,2014/8/1 4:00,5256,4446.438245,1,IN_PROGRESS,MTA NYCT_M103,MTA NYCT_OH_C4-Weekday-140700_M101_125,87.27517988,MTA_402829
40.816128,-73.916134,2014/8/1 4:00,5766,7540.979332,1,LAYOVER_DURING,MTA NYCT_BX4,MTA NYCT_GH_C4-Weekday-140000_BX44A_127,28.64547549,MTA_103772
40.756832,-73.970076,2014/8/1 4:00,5868,6232.430814,0,IN_PROGRESS,MTA NYCT_M103,MTA NYCT_OH_C4-Weekday-137700_M101_110,213.8317759,MTA_402683
40.865128,-73.928287,2014/8/1 4:00,6040,3006.838327,1,IN_PROGRESS,MTA NYCT_M100,MTA NYCT_KB_C4-Weekday-141800_M100_338,293.7033455,MTA_404839
40.859513,-73.934373,2014/8/1 4:00,6383,15801.8277,1,LAYOVER_DURING,MTA NYCT_M4,MTA NYCT_MV_C4-Weekday-144500_M11_327,0,MTA_400639
40.821888,-73.945871,2014/8/1 4:00,6402,4713.261434,1,IN_PROGRESS,MTA NYCT_M3,MTA NYCT_MV_C4-Weekday-141300_M3_235,101.3155474,MTA_400471
40.742365,-73.721811,2014/8/1 4:00,6452,10321.93862,0,IN_PROGRESS,MTA NYCT_Q46,MTA NYCT_QV_C4-Weekday-141000_Q46_15,20.34407198,MTA_503588
40.755023,-73.706478,2014/8/1 4:00,6463,59.26168893,1,LAYOVER_DURING,MTA NYCT_Q46,MTA NYCT_QV_C4-Weekday-144000_MISC_300,318.531578,MTA_904122
40.772014,-73.96515,2014/8/1 4:00,6702,5266.611207,0,IN_PROGRESS,MTA NYCT_M2,MTA NYCT_MV_C4-Weekday-142000_M3_239,85.7705699,MTA_400030
40.78645,-73.977859,2014/8/1 4:00,6733,4626.239352,1,IN_PROGRESS,MTA NYCT_M104,MTA NYCT_MQ_C4-Weekday-141500_M104_37,137.503524,MTA_403164
40.614136,-74.111567,2014/8/1 4:00,7054,5180.371363,0,IN_PROGRESS,MTA NYCT_S66,MTA NYCT_CA_C4-Weekday-142500_MISC_504,44.86147721,MTA_200541
40.691835,-73.933976,2014/8/1 4:00,9459,5389.812714,0,IN_PROGRESS,MTA NYCT_B38,MTA NYCT_GA_C4-Weekday-141600_B60_732,46.40841196,MTA_303033
40.71734,-73.735461,2014/8/1 4:00,9531,11892.94284,1,IN_PROGRESS,MTA NYCT_Q27,MTA NYCT_QV_C4-Weekday-140000_MISC_308,14.26976629,MTA_500304
40.619212,-74.022408,2014/8/1 4:00,9615,10215.52434,0,IN_PROGRESS,MTA NYCT_B1,MTA NYCT_UP_C4-Weekday-SDon-139500_B36_423,263.0083906,MTA_307501
40.624818,-73.96518,2014/8/1 4:00,480,2653.975086,1,IN_PROGRESS,MTA NYCT_B11,MTA NYCT_JG_C4-Weekday-143000_B11_31,29.13602845,MTA_307482
40.758363,-73.829193,2014/8/1 4:00,646,9920.137511,0,IN_PROGRESS,MTABC_Q65,MTABC_6565572-CPPC4-CP_C4-Weekday-30,115.2322055,MTA_551051
40.786403,-73.950031,2014/8/1 4:00,1002,9730.267543,1,IN_PROGRESS,MTA NYCT_M101,MTA NYCT_OH_C4-Weekday-136000_M101_105,141.8498616,MTA_403418
40.643064,-74.074092,2014/8/1 4:00,4048,25.54549892,1,IN_PROGRESS,MTA NYCT_S74,MTA NYCT_CH_C4-Weekday-144000_MISC_886,242.9375144,MTA_200176
40.668602,-73.986697,2014/8/1 4:00,469,4145.347107,1,IN_PROGRESS,MTA NYCT_B63,MTA NYCT_JG_C4-Weekday-141500_B63_123,2.631838042,MTA_305423
40.668602,-73.986697,2014/8/1 4:01,469,4155.347107,1,IN_PROGRESS,MTA NYCT_B63,MTA NYCT_JG_C4-Weekday-141500_B63_123,2.631838042,MTA_305423
40.668602,-73.986697,2014/8/1 4:02,469,4125.347107,1,IN_PROGRESS,MTA NYCT_B63,MTA NYCT_JG_C4-Weekday-141500_B63_123,2.631838042,MTA_305423
